marker,Identifier,Score,Component,Description
STalbot,Participant 12895881,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
STalbot,Participant 12895881,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
STalbot,Participant 12895881,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
STalbot,Participant 12895881,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
STalbot,Participant 12895881,3,17,Discussion correctly and clearly summarises findings
STalbot,Participant 12895881,4,18,Discussion correctly interprets findings
STalbot,Participant 12895881,4,19,Discussion makes appropriate links to previous literature
STalbot,Participant 12895881,4,20,Discussion provides good considerations of the limitations of the current study
STalbot,Participant 12895881,5,21,"Discussion makes a good, sensible suggestion for future work"
STalbot,Participant 12895881,3,22,Discussion concludes appropriately.
STalbot,Participant 12895881,3,23,Overall clarity of writing
STalbot,Participant 12895881,4,24,Overall quality of grammar and spelling
STalbot,Participant 12895881,5,25,Correct formatting of sections and sub-sections
STalbot,Participant 12895881,4,26,Correct usage of APA-formatted citations and references
STalbot,Participant 12895695,4,1,Abstract is clear and accurate
STalbot,Participant 12895695,3,2,Abstract contains correct information
STalbot,Participant 12895695,4,3,Introduction is clear and accurate
STalbot,Participant 12895695,5,4,Introduction gives big-picture overview
STalbot,Participant 12895695,4,5,Introduction outlines specific research area
STalbot,Participant 12895695,3,6,Introduction gives rationale for current experiment
STalbot,Participant 12895695,5,7,"Participant section is clear, accurate, and contain correct information"
STalbot,Participant 12895695,5,8,Sample sizes are justified through a power calculation
STalbot,Participant 12895695,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
STalbot,Participant 12895695,4,10,"Procedure section is clear, accurate, and contain correct information."
STalbot,Participant 12895695,4,11,"Result section is overall clear, accurate, and contain correct information"
STalbot,Participant 12895695,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
STalbot,Participant 12895695,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
STalbot,Participant 12895695,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
STalbot,Participant 12895695,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
STalbot,Participant 12895695,4,17,Discussion correctly and clearly summarises findings
STalbot,Participant 12895695,5,18,Discussion correctly interprets findings
STalbot,Participant 12895695,5,19,Discussion makes appropriate links to previous literature
STalbot,Participant 12895695,4,20,Discussion provides good considerations of the limitations of the current study
STalbot,Participant 12895695,3,21,"Discussion makes a good, sensible suggestion for future work"
STalbot,Participant 12895695,5,22,Discussion concludes appropriately.
STalbot,Participant 12895695,5,23,Overall clarity of writing
STalbot,Participant 12895695,4,24,Overall quality of grammar and spelling
STalbot,Participant 12895695,5,25,Correct formatting of sections and sub-sections
STalbot,Participant 12895695,5,26,Correct usage of APA-formatted citations and references
STalbot,Participant 12895700,4,1,Abstract is clear and accurate
STalbot,Participant 12895700,4,2,Abstract contains correct information
STalbot,Participant 12895700,3,3,Introduction is clear and accurate
STalbot,Participant 12895700,2,4,Introduction gives big-picture overview
STalbot,Participant 12895700,2,5,Introduction outlines specific research area
STalbot,Participant 12895700,3,6,Introduction gives rationale for current experiment
STalbot,Participant 12895700,3,7,"Participant section is clear, accurate, and contain correct information"
STalbot,Participant 12895700,3,8,Sample sizes are justified through a power calculation
STalbot,Participant 12895700,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
STalbot,Participant 12895700,4,10,"Procedure section is clear, accurate, and contain correct information."
STalbot,Participant 12895700,3,11,"Result section is overall clear, accurate, and contain correct information"
STalbot,Participant 12895700,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
STalbot,Participant 12895700,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
STalbot,Participant 12895700,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
STalbot,Participant 12895700,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
STalbot,Participant 12895700,3,17,Discussion correctly and clearly summarises findings
STalbot,Participant 12895700,4,18,Discussion correctly interprets findings
STalbot,Participant 12895700,2,19,Discussion makes appropriate links to previous literature
STalbot,Participant 12895700,4,20,Discussion provides good considerations of the limitations of the current study
STalbot,Participant 12895700,2,21,"Discussion makes a good, sensible suggestion for future work"
STalbot,Participant 12895700,2,22,Discussion concludes appropriately.
STalbot,Participant 12895700,4,23,Overall clarity of writing
STalbot,Participant 12895700,4,24,Overall quality of grammar and spelling
STalbot,Participant 12895700,5,25,Correct formatting of sections and sub-sections
STalbot,Participant 12895700,5,26,Correct usage of APA-formatted citations and references
STalbot,Participant 12895717,3,1,Abstract is clear and accurate
STalbot,Participant 12895717,4,2,Abstract contains correct information
STalbot,Participant 12895717,2,3,Introduction is clear and accurate
STalbot,Participant 12895717,3,4,Introduction gives big-picture overview
STalbot,Participant 12895717,3,5,Introduction outlines specific research area
STalbot,Participant 12895717,3,6,Introduction gives rationale for current experiment
STalbot,Participant 12895717,5,7,"Participant section is clear, accurate, and contain correct information"
STalbot,Participant 12895717,5,8,Sample sizes are justified through a power calculation
STalbot,Participant 12895717,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
STalbot,Participant 12895717,4,10,"Procedure section is clear, accurate, and contain correct information."
STalbot,Participant 12895717,4,11,"Result section is overall clear, accurate, and contain correct information"
STalbot,Participant 12895717,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
STalbot,Participant 12895717,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
STalbot,Participant 12895717,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
STalbot,Participant 12895717,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
STalbot,Participant 12895717,5,17,Discussion correctly and clearly summarises findings
STalbot,Participant 12895717,5,18,Discussion correctly interprets findings
STalbot,Participant 12895717,3,19,Discussion makes appropriate links to previous literature
STalbot,Participant 12895717,3,20,Discussion provides good considerations of the limitations of the current study
STalbot,Participant 12895717,3,21,"Discussion makes a good, sensible suggestion for future work"
STalbot,Participant 12895717,3,22,Discussion concludes appropriately.
STalbot,Participant 12895717,5,23,Overall clarity of writing
STalbot,Participant 12895717,5,24,Overall quality of grammar and spelling
STalbot,Participant 12895717,5,25,Correct formatting of sections and sub-sections
STalbot,Participant 12895717,5,26,Correct usage of APA-formatted citations and references
STalbot,Participant 12895725,4,1,Abstract is clear and accurate
STalbot,Participant 12895725,4,2,Abstract contains correct information
STalbot,Participant 12895725,2,3,Introduction is clear and accurate
STalbot,Participant 12895725,3,4,Introduction gives big-picture overview
STalbot,Participant 12895725,2,5,Introduction outlines specific research area
STalbot,Participant 12895725,2,6,Introduction gives rationale for current experiment
STalbot,Participant 12895725,5,7,"Participant section is clear, accurate, and contain correct information"
STalbot,Participant 12895725,5,8,Sample sizes are justified through a power calculation
STalbot,Participant 12895725,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
STalbot,Participant 12895725,4,10,"Procedure section is clear, accurate, and contain correct information."
STalbot,Participant 12895725,3,11,"Result section is overall clear, accurate, and contain correct information"
STalbot,Participant 12895725,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
STalbot,Participant 12895725,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
